Star Number,Image 1 x,Image 1 y,Brightness,Radius
103,585,1281,0.0001274196256417781,37.20000076293945
104,718,1282,0.0002121968864230439,37.20000076293945
105,585,1285,7.784233457641676e-05,37.20000076293945
106,981,1390,4.82549182834191e-07,37.20000076293945
107,368,1426,2.3053221411828417e-06,37.20000076293945
108,993,1429,4.467037513222749e-07,37.20000076293945
109,651,1548,0.00026389508275315166,37.20000076293945
110,1056,190,0.00011150347563670948,44.6400032043457
111,1105,201,0.0011270714458078146,44.6400032043457
112,594,277,6.981510068726493e-06,44.6400032043457
113,492,303,0.0005770103307440877,44.6400032043457
114,851,322,1.8462476418790175e-06,44.6400032043457
115,156,416,2.165464138670359e-06,44.6400032043457
116,1049,552,4.8291140046785586e-06,44.6400032043457
117,1023,571,1.9533281374606304e-06,44.6400032043457
118,421,689,3.9874234062153846e-05,44.6400032043457
119,175,1000,3.494464237974171e-07,44.6400032043457
120,355,1163,8.130170385811653e-07,44.6400032043457
121,892,1163,0.0027717938646674156,44.6400032043457
122,743,1175,1.090129671865725e-06,44.6400032043457
123,701,1180,0.0037722610868513584,44.6400032043457
124,701,1183,0.003785587614402175,44.6400032043457
125,921,1203,2.219630914623849e-05,44.6400032043457
126,584,1283,4.521581286098808e-05,44.6400032043457
127,718,1283,7.136238855309784e-05,44.6400032043457
128,810,1337,0.00021421232668217272,44.6400032043457
129,368,1427,1.0109143886438687e-06,44.6400032043457
130,650,1548,0.00011544927110662684,44.6400032043457
131,1055,190,3.5881235817214474e-05,53.5680046081543
132,1105,202,0.0003319885872770101,53.5680046081543
133,594,278,2.910709099523956e-06,53.5680046081543
134,492,302,0.0002369961584918201,53.5680046081543
135,850,323,4.702006322077068e-07,53.5680046081543
136,155,416,6.404967507478432e-07,53.5680046081543
137,1048,552,1.6558823290324653e-06,53.5680046081543
138,1022,570,1.1543451137185912e-06,53.5680046081543
139,421,689,1.5625260857632384e-05,53.5680046081543
140,891,1162,0.0019520653877407312,53.5680046081543
141,701,1181,0.002745712408795953,53.5680046081543
142,921,1202,6.769963874830864e-06,53.5680046081543
143,584,1282,1.368772063869983e-05,53.5680046081543
144,718,1283,1.168347353086574e-05,53.5680046081543
145,810,1337,8.723238715901971e-05,53.5680046081543
146,368,1427,3.8340522223734297e-07,53.5680046081543
147,1057,190,6.589475106011378e-06,64.28160858154297
148,1107,201,9.781617700355127e-05,64.28160858154297
149,595,277,1.2391365089570172e-06,64.28160858154297
150,493,302,6.681404920527712e-05,64.28160858154297
151,1049,553,2.7769590360549046e-07,64.28160858154297
152,1024,570,5.09521157709969e-07,64.28160858154297
153,420,690,2.2307681319944095e-06,64.28160858154297
154,891,1163,0.000992326531559229,64.28160858154297
155,702,1181,0.0015186718665063381,64.28160858154297
156,920,1204,1.473171437282872e-06,64.28160858154297
157,584,1283,3.6207759421813535e-06,64.28160858154297
158,719,1283,2.944752623079694e-06,64.28160858154297
159,810,1337,2.5269368052249774e-05,64.28160858154297
160,1055,189,9.403691478837573e-07,77.137939453125
161,1107,201,1.877403883554507e-05,77.137939453125
162,594,276,3.0031489473003603e-07,77.137939453125
163,492,303,1.5607567547704093e-05,77.137939453125
164,1022,569,2.497312721061462e-07,77.137939453125
165,420,689,4.7240260414582735e-07,77.137939453125
166,890,1162,0.000432024709880352,77.137939453125
167,701,1181,0.0007045433158054948,77.137939453125
168,920,1201,2.8660650741585414e-07,77.137939453125
169,584,1281,7.376301596195844e-07,77.137939453125
170,719,1283,4.565526126043551e-07,77.137939453125
171,808,1336,6.081455921957968e-06,77.137939453125
172,492,301,3.990423465438653e-06,92.5655288696289
173,421,689,1.2709060115412285e-07,92.5655288696289
174,892,1161,0.00013612283510155976,92.5655288696289
175,701,1182,0.00035308324731886387,92.5655288696289
176,719,1283,1.4714875362642488e-07,92.5655288696289
177,809,1337,1.6382356307076407e-06,92.5655288696289
178,490,300,7.123449563550821e-07,111.0786361694336
179,892,1160,4.563521360978484e-05,111.0786361694336
180,702,1182,0.00013058792683295906,111.0786361694336
181,809,1336,2.1738094346801518e-07,111.0786361694336
