Star Number,Image 1 x,Image 1 y,Brightness,Radius
1,990,63,1.6402242408730672e-06,31.0
2,1146,78,5.251908419268148e-07,31.0
3,992,85,5.132875458002673e-07,31.0
4,791,113,6.599068456125678e-07,31.0
5,803,144,5.581724167313951e-07,31.0
6,31,153,0.0004887346876785159,31.0
7,910,170,5.921976935496787e-07,31.0
8,258,186,1.1041132665923215e-06,31.0
9,1058,190,0.0007282147998921573,31.0
10,1107,202,0.005570251494646072,31.0
11,834,247,1.16334877020563e-06,31.0
12,123,265,5.136582217346586e-07,31.0
13,595,279,3.738079249160364e-05,31.0
14,523,280,2.444168387683021e-07,31.0
15,991,286,1.300756025557348e-06,31.0
16,493,304,0.0030306882690638304,31.0
17,492,307,0.0009612705907784402,31.0
18,1167,319,1.4702077066885977e-07,31.0
19,852,323,1.0331700650567655e-05,31.0
20,157,416,1.6370768207707442e-05,31.0
21,788,418,5.858735789843195e-07,31.0
22,311,425,4.5413398197524657e-07,31.0
23,437,428,1.5835497606531135e-06,31.0
24,210,433,1.3872853514840244e-06,31.0
25,740,464,4.1944807094296266e-07,31.0
26,161,472,8.03010550498584e-07,31.0
27,79,567,1.0751504078143626e-06,31.0
28,172,651,1.1264800150456722e-06,31.0
29,422,690,0.00030871134367771447,31.0
30,538,703,3.948493656480423e-07,31.0
31,769,728,8.611814337200485e-07,31.0
32,1055,752,5.493082539942407e-07,31.0
33,988,872,1.883717231976334e-06,31.0
34,33,928,2.8317330361460336e-05,31.0
35,716,934,1.7822890185925644e-06,31.0
36,473,948,1.5243806501530344e-06,31.0
37,475,980,1.1260220844633295e-06,31.0
38,92,999,3.3333407145619276e-07,31.0
39,176,1001,1.550620140733372e-06,31.0
40,957,1058,3.345582626934629e-06,31.0
41,894,1160,0.001641670591197908,31.0
42,890,1162,0.0019826244097203016,31.0
43,893,1164,0.004161700140684843,31.0
44,356,1165,7.25468589735101e-06,31.0
45,744,1176,6.382465926435543e-06,31.0
46,703,1180,0.002758222632110119,31.0
47,700,1183,0.0023607013281434774,31.0
48,705,1184,0.0017628628993406892,31.0
49,703,1185,0.00264540733769536,31.0
50,922,1204,0.0001527538406662643,31.0
51,832,1259,3.010909495060332e-07,31.0
52,259,1263,5.836853347318538e-07,31.0
53,718,1268,6.242601102712797e-07,31.0
54,132,1269,1.315943336521741e-06,31.0
55,585,1283,0.00038575194776058197,31.0
56,719,1284,0.0005555415409617126,31.0
57,811,1338,0.0013406246434897184,31.0
58,206,1344,9.837692687142408e-07,31.0
59,982,1391,9.202144610753749e-07,31.0
60,65,1396,7.43183932172542e-07,31.0
61,1023,1411,3.8183651440704125e-07,31.0
62,368,1428,3.4008889997494407e-06,31.0
63,994,1430,1.091762783289596e-06,31.0
64,733,1432,3.394406178358622e-07,31.0
65,1016,1433,8.18986450212833e-07,31.0
66,831,1437,6.39251652501116e-07,31.0
67,912,1440,4.7095741706471017e-07,31.0
68,626,1441,1.1646983466562233e-06,31.0
69,525,1464,9.735954336065333e-07,31.0
70,436,1479,6.353576509354752e-07,31.0
71,1011,1480,5.793478976556798e-07,31.0
72,961,1489,3.9472965340792143e-07,31.0
73,417,1495,5.165285870134539e-07,31.0
74,591,1500,8.991866025098716e-07,31.0
75,367,1530,2.46243160972881e-07,31.0
76,1120,1535,9.871005204331595e-07,31.0
77,651,1549,0.0006255972548387945,31.0
78,200,1566,8.685404395691876e-07,31.0
79,258,184,8.935396067499823e-07,37.20000076293945
80,1057,189,0.00031908703385852277,37.20000076293945
81,1107,202,0.0024880380369722843,37.20000076293945
82,595,278,1.6337306078639813e-05,37.20000076293945
83,492,303,0.00149317248724401,37.20000076293945
84,852,322,5.3662752179661766e-06,37.20000076293945
85,157,416,5.913781933486462e-06,37.20000076293945
86,310,424,2.100669860283233e-07,37.20000076293945
87,436,427,5.563977083511418e-07,37.20000076293945
88,210,432,4.4636473717218905e-07,37.20000076293945
89,1050,553,1.3379127267398871e-05,37.20000076293945
90,1024,571,3.565280849215924e-06,37.20000076293945
91,421,690,0.00011072243796661496,37.20000076293945
92,715,933,1.0213021823801682e-06,37.20000076293945
93,472,946,5.942152370153053e-07,37.20000076293945
94,176,1000,6.347764838210423e-07,37.20000076293945
95,957,1057,1.4238023595680716e-06,37.20000076293945
96,891,1160,0.003308228449895978,37.20000076293945
97,355,1164,2.7558899091673084e-06,37.20000076293945
98,744,1174,3.1773611226526555e-06,37.20000076293945
99,702,1179,0.0028987310361117125,37.20000076293945
100,704,1180,0.0026526472065597773,37.20000076293945
101,702,1184,0.0031408462673425674,37.20000076293945
102,921,1203,6.341592961689457e-05,37.20000076293945
