Star Number,x,y,Brightness,Radius
1,595,279,3.738079249160364e-05,16.0
2,719,1284,0.0005555415409617126,16.0
3,585,1283,0.00038575194776058197,16.0
4,811,1338,0.0013406246434897184,16.0
5,1058,190,0.0007282147998921573,16.0
6,1107,202,0.005570251494646072,16.0
7,890,1162,0.0019826244097203016,16.0
8,703,1185,0.00264540733769536,16.0
9,894,1160,0.001641670591197908,16.0
10,922,1204,0.0001527538406662643,16.0
11,893,1164,0.004161700140684843,16.0
12,493,304,0.0030306882690638304,16.0
13,492,307,0.0009612705907784402,16.0
14,852,323,1.0331700650567655e-05,16.0
15,157,416,1.6370768207707442e-05,16.0
16,705,1184,0.0017628628993406892,16.0
17,700,1183,0.0023607013281434774,16.0
18,356,1165,7.25468589735101e-06,16.0
19,422,690,0.00030871134367771447,16.0
20,703,1180,0.002758222632110119,16.0
21,744,1176,6.382465926435543e-06,16.0
22,368,1428,3.4008889997494407e-06,16.0
23,957,1058,3.345582626934629e-06,16.0
24,988,872,1.883717231976334e-06,16.0
25,716,934,1.7822890185925644e-06,16.0
26,437,428,1.5835497606531135e-06,16.0
27,176,1001,1.550620140733372e-06,16.0
28,473,948,1.5243806501530344e-06,16.0
29,210,433,1.3872853514840244e-06,16.0
30,132,1269,1.315943336521741e-06,16.0
31,991,286,1.300756025557348e-06,16.0
32,626,1441,1.1646983466562233e-06,16.0
33,834,247,1.16334877020563e-06,16.0
34,172,651,1.1264800150456722e-06,16.0
35,475,980,1.1260220844633295e-06,16.0
36,258,186,1.1041132665923215e-06,16.0
37,994,1430,1.091762783289596e-06,16.0
38,206,1344,9.837692687142408e-07,16.0
39,525,1464,9.735954336065333e-07,16.0
40,982,1391,9.202144610753749e-07,16.0
41,594,276,3.300460207356082e-07,48.0
42,492,303,3.227966226404533e-05,48.0
43,420,690,8.901993737708835e-07,48.0
44,894,1152,0.00028406045748852193,48.0
45,891,1161,0.0005587406922131777,48.0
46,702,1182,0.0009242452797479928,48.0
47,921,1203,1.3673926559931715e-06,48.0
48,585,1281,2.7914616111957002e-06,48.0
49,717,1281,4.36384539170831e-07,48.0
